stname,ctyname,aa_change,rtd_change,hisp_change,white_change
South Carolina,Abbeville County,-0.0016867799999999988,0.44399089999999997,0.004243209000000001,-0.0018189000000000677
Louisiana,Acadia Parish,-9.771999999999836e-4,1.0175451999999998,0.007192964,-0.004622519999999963
Virginia,Accomack County,0.003704609999999997,0.24373259999999997,0.0023479460000000035,-0.009181499999999954
Idaho,Ada County,0.0011708550000000002,0.10396390000000011,0.009258233000000005,-0.00711976999999997
Oklahoma,Adair County,0.0171362277,4.7127379,0.023750099999999996,-0.05022142999999968
Illinois,Adams County,0.023191215800000053,13.918045370000002,0.13582445899999995,-0.13479635999999928
Vermont,Addison County,0.0037397512000000004,0.04289234000000003,0.004195759,-0.01065273
South Carolina,Aiken County,0.0029397600000000135,0.1664314,0.007162347000000006,-0.008128050000000053
Minnesota,Aitkin County,0.0017556844000000001,0.7613567600000001,0.004581394799999999,-0.008248149999999899
Florida,Alachua County,0.0012689800000000029,-0.024303799999999987,0.011658236000000002,-0.011291269999999964
North Carolina,Alamance County,0.007676020000000006,0.09563290000000002,0.012642619999999993,-0.01531536
California,Alameda County,-0.01631777000000001,-0.05812229999999999,-6.0391999999998e-4,-0.021318019999999938
Colorado,Alamosa County,0.004857000000000002,0.20679140000000007,0.005426500000000001,-0.014401620000000004
Wyoming,Albany County,0.010433820999999982,0.22222498999999996,0.015046694,-0.04087382999999978
Virginia,Albemarle County,-5.48481999999989e-4,-0.11308734999999992,0.002805870000000002,-0.00696868000000006
Michigan,Alcona County,0.0027694465,1.2501054000000003,0.002856708999999999,-0.007559780000000016
Mississippi,Alcorn County,0.009674569999999993,1.7872796000000002,0.004345399999999996,-0.012981230000000066
Alaska,Aleutians East Borough,0.024156636999999995,-0.6195046999999998,0.01837314999999999,-0.019264370000000003
Alaska,Aleutians West Census Area,0.007885835999999993,-1.9767912800000003,0.00879938999999999,-0.06971306
Illinois,Alexander County,-0.025680367999999953,1.81875668,0.002377020999999993,0.012476979999999971
Virginia,Alexandria city,0.007063659999999999,-0.14794014000000003,0.007047999999999999,-0.012506550000000005
Oklahoma,Alfalfa County,0.0028488299999999966,4.026932700000001,0.017070002999999993,-0.025200549999999988
Michigan,Alger County,0.010196828000000005,0.66930656,0.003681061999999999,-0.019247829999999966
Iowa,Allamakee County,0.009319039999999999,0.94396047,0.011068065000000002,-0.015173259999999966
Michigan,Allegan County,0.001798685999999999,0.6498058,0.006062619000000005,-0.00625175
Maryland,Allegany County,0.0016732229999999876,1.9755819,0.004991481999999995,-0.01686871000000001
Virginia,Alleghany County,0.0015419869999999947,2.5792335,0.008641374999999993,-0.014563499999999951
Pennsylvania,Allegheny County,0.0010121599999999842,-0.024010120000000024,0.0047169740000000005,-0.014361200000000074
Indiana,Allen County,0.010353082799999969,4.3038448,0.024738599,-0.04443465999999985
Louisiana,Allen Parish,-0.007060259999999985,1.0700922,0.007597938,0.004807889999999926
South Carolina,Allendale County,2.785899999999675e-4,-0.024161810000000006,0.008934967999999998,-0.006401650000000009
Michigan,Alpena County,0.0014836965000000002,0.93912648,0.003195874999999999,-0.005191270000000081
California,Alpine County,9.5510983e-4,0.05254417,0.028797175999999994,-0.030939110000000047
California,Amador County,-0.005512441,0.3946141999999999,0.009047980000000011,-0.004067599999999949
Virginia,Amelia County,-0.016384850000000006,0.6167467999999998,0.008082441999999999,0.007663789999999948
Virginia,Amherst County,9.6947e-4,0.5319988,0.00464146,-0.0029743899999999934
Mississippi,Amite County,-0.011089920000000031,0.3223644000000001,0.004330992300000001,0.007504170000000032
Kansas,Anderson County,0.003273410399999954,5.1581346,0.03383795099999998,-0.03148227999999964
Missouri,Andrew County,0.0031552469000000003,1.6809922000000002,0.006512230000000001,-0.007702949999999986
Texas,Andrews County,0.0019008289999999997,-0.1330114,0.07620374000000002,-0.009611909999999946
Maine,Androscoggin County,0.004259944000000002,0.49585904999999997,0.002500480000000001,-0.009304519999999927
Texas,Angelina County,-1.4538999999999525e-4,0.7880324999999999,0.020859440000000007,-0.003977360000000041
Alaska,Anchorage Municipality,0.0017317689999999941,-0.4981996900000001,0.014927021999999998,-0.029363580000000056
Maryland,Anne Arundel County,0.012345430000000018,-0.08417813000000007,0.013753526000000002,-0.022103789999999957
Minnesota,Anoka County,0.015324636999999995,0.18590800000000018,0.007890466999999998,-0.024699150000000003
North Carolina,Anson County,-0.0016658900000000032,0.11743134,0.009883789000000004,-0.0038490899999999995
Nebraska,Antelope County,9.40322e-4,3.9852065999999997,0.007258172999999996,-0.005425510000000022
Michigan,Antrim County,0.0010407665,0.6692593,0.005354813,-0.0034756099999999623
Arizona,Apache County,0.0025966102,-0.07326966000000001,0.003906909,-0.020850900000000006
Iowa,Appanoose County,0.0019909721,1.1842061999999998,0.004587384,-0.010598120000000044
Georgia,Appling County,0.0035633599999999876,1.0766368000000002,0.004887082000000001,-0.011319280000000043
Virginia,Appomattox County,-0.010164229999999996,0.9685187,0.004302542000000001,0.004855449999999983
Texas,Aransas County,0.0045188269999999996,0.9134123000000001,0.027287600000000023,-0.00736016000000006
